comuna;consumo_diurno;consumo_nocturno;tipo_cliente;socioeconomico;evento_anomalo;eficiencia_energetica;consumo_total;beneficiario;aporte;ajuste_tarifario
Peñaflor;206.0141076911304;137.34273846075362;INDUSTRIAL;bajo;;alto;343.35684615188404;False;True;17.1678423075942
Peñaflor;274.9633468053566;183.30889787023776;INDUSTRIAL;bajo;;bajo;458.2722446755944;False;True;22.913612233779716
Peñaflor;81.02597832416895;54.0173188827793;RESIDENCIAL;bajo;;medio;135.04329720694824;True;False;-20.256494581042237
Peñaflor;252.74013452791164;168.4934230186078;COMERCIAL;medio;;alto;421.2335575465195;False;True;21.061677877325973
Peñaflor;270.8328256525212;180.5552171016808;COMERCIAL;medio;;medio;451.388042754202;False;True;22.5694021377101
Peñaflor;75.28380667419043;50.18920444946029;RESIDENCIAL;bajo;;alto;125.47301112365072;True;False;-18.820951668547607
Peñaflor;202.58310610080488;135.05540406720328;INDUSTRIAL;alto;;alto;337.63851016800817;False;True;16.88192550840041
Peñaflor;238.46701390611943;158.97800927074633;INDUSTRIAL;bajo;;alto;397.4450231768658;False;True;19.87225115884329
Peñaflor;62.45209891826383;41.634732612175895;RESIDENCIAL;medio;;medio;104.08683153043972;True;False;-15.613024729565959
Peñaflor;268.130718851143;178.75381256742867;INDUSTRIAL;bajo;;medio;446.88453141857167;False;True;22.344226570928587
Peñaflor;124.0218612766042;82.68124085106949;RESIDENCIAL;alto;;medio;206.70310212767367;False;True;10.335155106383684
Peñaflor;276.16038387836073;184.10692258557384;INDUSTRIAL;alto;;medio;460.2673064639346;False;True;23.01336532319673
Peñaflor;257.8670211664717;171.91134744431452;INDUSTRIAL;alto;;alto;429.77836861078623;False;True;21.48891843053931
Peñaflor;308.4956567097737;205.6637711398492;INDUSTRIAL;alto;;medio;514.159427849623;False;True;25.70797139248115
Peñaflor;103.99987508617032;69.33325005744689;RESIDENCIAL;medio;;alto;173.33312514361722;False;True;8.666656257180861
