comuna;socioeconomico;tipo_cliente;evento_anomalo;eficiencia_energetica;semana_1_diurno;semana_2_diurno;semana_3_diurno;semana_4_diurno;semana_1_nocturno;semana_2_nocturno;semana_3_nocturno;semana_4_nocturno
Providencia;alto;INDUSTRIAL;;alto;64.47105050710974;71.27828821996613;73.52769452666143;73.19019865086736;52.790784765074335;46.85168320020804;46.75586474390744;41.95630573572569
Providencia;medio;COMERCIAL;;bajo;70.23045383316594;81.27909462829442;85.72149381421191;78.16612050067084;51.5313769042602;58.96032387743135;47.32997953484218;46.468135329076866
Providencia;alto;RESIDENCIAL;;medio;34.936548249595525;39.65234501422659;27.474799806326722;32.542283191072435;25.62408997447051;27.008639898221205;18.205051945861754;15.975009707650997
Providencia;medio;INDUSTRIAL;;medio;96.13200040173875;94.24034823030841;83.72136217914925;85.70201175075123;57.48959576836777;49.19543463133621;60.01389245227085;54.884750759985394
Providencia;bajo;COMERCIAL;;bajo;79.4791549136489;73.84011310834802;70.89855811154217;66.44250125380114;39.72527366395801;46.30712959079694;37.41187032318176;46.95692450462309
Providencia;bajo;INDUSTRIAL;;alto;63.972803445588426;75.76378537200519;71.33915794470191;66.16529305942052;35.96083294219471;39.81179661368781;43.57716900623385;37.74652861768847
Providencia;medio;RESIDENCIAL;;bajo;32.80810196397331;17.34539339776438;18.843497572309566;18.788348199000097;6.916203364896017;22.15419313468414;15.47326841039758;10.598344805950505
Providencia;medio;RESIDENCIAL;;alto;42.16108048347151;34.50271008767256;41.380889571347566;30.69777374453988;22.205180131927964;16.996428533598;12.227627680630821;17.302139672126955
Providencia;alto;INDUSTRIAL;;bajo;69.25031875880464;79.9409847470634;79.42504580596389;83.12718336613786;46.78338938400054;55.189220042913945;51.39764054299122;39.64127416943584
Providencia;medio;INDUSTRIAL;;bajo;47.47378512378042;48.099476616142425;63.24765492920385;58.85055993150095;37.583247575982824;42.73897745487037;39.99704817985722;44.44351881051993
Providencia;bajo;COMERCIAL;;bajo;75.36790386703746;67.860882629684;62.69699525017148;71.53349756672783;55.03759340914658;40.201270806900474;54.35877004138048;37.63822898724824
Providencia;bajo;INDUSTRIAL;corte;alto;58.61255801496278;67.93766102346473;66.93080979172882;70.98192215164829;37.093343169949264;52.53638409351444;34.56650714220645;51.026063386988945
Providencia;alto;RESIDENCIAL;;alto;40.16914940095677;30.998597292525908;40.1954249727669;31.234879053208758;23.1005726489594;30.91661607446406;21.908998005355624;17.30282860815458
Providencia;alto;RESIDENCIAL;;bajo;30.062406958305438;23.998274617529326;20.096366867562963;21.21381456249029;15.314526842394324;22.39444163768676;20.17917892531271;16.353943887403666
Providencia;alto;COMERCIAL;;alto;68.78512386967904;60.22785762206799;57.56043795458894;70.2007725830237;51.22920628154591;33.019593877058796;49.19279106967368;32.207630157887934
Providencia;bajo;RESIDENCIAL;;bajo;41.20616860711568;24.646753842781568;29.89372011580635;25.93995632890408;22.028757283400616;12.51404030028932;28.64943287966671;18.941947547111855
Providencia;bajo;COMERCIAL;;alto;73.82632011306573;71.61793844170067;57.4301362523824;67.06390338070078;46.99835386578299;49.18142658210389;43.92425088304538;40.83044397630164
Providencia;bajo;INDUSTRIAL;;medio;67.16047489199408;82.6919261809133;66.62909546391704;71.95689181096202;48.99171485662902;47.90944680209106;41.701620822860974;50.033540876790035
Providencia;medio;INDUSTRIAL;;bajo;81.04861595951012;87.84100042907204;77.586978748708;75.53535049092896;61.50767621825267;46.17371428248836;51.39735525802875;59.14708642396552
Providencia;medio;INDUSTRIAL;;alto;53.54823904868895;44.37230289161332;53.71078941972443;45.60919316431873;27.965139005320466;41.058529856479254;39.40396718578356;32.62297126702645
Providencia;bajo;INDUSTRIAL;;bajo;71.54781967231591;75.60959370969239;66.79317128669793;76.26902752326474;45.941901284713154;57.21977128760771;43.088774809715446;55.52290480324207
Providencia;alto;COMERCIAL;;alto;57.02322629103633;63.450247203164096;51.031502908471474;49.704232701877544;33.36231970713011;28.249800330948105;39.69460066311125;39.4218678588316
Providencia;alto;RESIDENCIAL;;alto;26.16743981194991;19.688563333715216;26.751987434278867;25.789614589637434;18.998215561514733;25.933296048750947;14.377297865224847;28.547545575857864
Providencia;alto;INDUSTRIAL;;bajo;78.32268894290362;74.53946725430012;71.67284139388961;80.91608148564376;39.81189468801791;41.66667649970707;40.84725878639424;45.032269010963724
Providencia;medio;COMERCIAL;;alto;49.05130672477408;62.25694927369096;54.61822810865848;59.623418801932566;34.45276654894269;41.91045749485532;44.51585814901223;33.22421326544382
Providencia;medio;INDUSTRIAL;;alto;71.08505384067827;61.56311280496726;59.735448833101955;59.471812069786125;38.41666054746657;40.18642133294297;31.135721516218922;38.50158522312806
Providencia;alto;RESIDENCIAL;;bajo;34.771875204944244;17.54407965527617;34.52555793900723;28.103162215851725;26.87792740777861;25.709609509421334;15.619965626308709;14.835070048494774
Providencia;alto;RESIDENCIAL;;medio;36.67989438164434;41.297953069216476;44.228937008182044;30.941752985115556;21.093120639581457;15.154527370491927;18.7204288362307;29.752083771251623
Providencia;bajo;INDUSTRIAL;;medio;88.18823580770015;86.3015554913548;90.9384562138613;87.12120737328478;51.176311135506516;55.00129261884446;48.3505207317749;52.947417334485856
Providencia;alto;INDUSTRIAL;;medio;61.63601347751013;73.48011104832369;58.16885602928012;75.83337811248649;44.66701224183088;42.0207684959261;35.041236844931305;36.162107383640546
Providencia;medio;COMERCIAL;;medio;49.07577685513433;65.04116038676426;59.1549080096887;55.44766319438204;38.628397974175385;43.124889222198334;31.566751119422328;42.9033764022836
Providencia;medio;RESIDENCIAL;;alto;38.44934496756771;29.784519376611115;30.767043190196024;36.624453807688816;19.708640463681903;12.007535057918655;28.699440198049945;13.609733191745555
Providencia;alto;INDUSTRIAL;;medio;78.1433106170406;73.6721341289806;72.2330858838215;82.84086797010671;60.57067665419526;49.752886661975175;52.92637268847345;47.32573517952436
Providencia;bajo;RESIDENCIAL;;alto;18.773545373721273;9.402050250258474;17.659117355636987;10.67868386923957;16.55932600709704;13.225579433886914;7.645279362811612;18.316376828043815
Providencia;alto;COMERCIAL;;alto;52.36914324237484;49.10154891678823;45.62910392723191;46.151458255027975;29.77128517561831;34.496866564031066;44.95713693127651;38.64298006169219
Providencia;medio;COMERCIAL;;bajo;72.63587319700692;80.52801246936667;82.37537071820788;81.98047908679587;63.337616253316156;55.34220729010953;59.910650213553794;60.51444103092801
Providencia;alto;INDUSTRIAL;;alto;67.28385842693437;66.92523236458116;67.71929652446966;72.19408308170568;39.99395217782725;41.22862056997418;49.76348451115361;50.41933794412097
Providencia;bajo;INDUSTRIAL;;medio;71.03907970029218;65.99764697748371;55.107488645207624;67.54953936029906;44.0972763027127;47.05307304823398;38.37346843015915;46.23951653453746
