comuna;socioeconomico;tipo_cliente;evento_anomalo;eficiencia_energetica;semana_1_diurno;semana_2_diurno;semana_3_diurno;semana_4_diurno;semana_1_nocturno;semana_2_nocturno;semana_3_nocturno;semana_4_nocturno
Las Condes;medio;COMERCIAL;;bajo;69.9860653463205;60.354780629086015;72.68187609841017;61.57069975343304;41.61379984794624;44.13443765706075;38.7799112143221;35.37139003556282
Las Condes;bajo;RESIDENCIAL;;medio;22.083245059872077;24.90670820610078;36.135520472931866;32.807809740547206;27.332033688322028;12.977937995645366;25.25413831271315;23.20318050715051
Las Condes;medio;INDUSTRIAL;;alto;72.9908012604384;60.08980145948726;66.76213335159261;66.0591309104625;36.01339840183542;42.518164150087124;48.228617610892925;43.700562203297956
Las Condes;bajo;INDUSTRIAL;;alto;59.318926707032276;61.2807694590923;55.00116731150592;44.04977385214629;34.10329914783939;40.00696448052705;30.58245127510057;32.12802282434202
Las Condes;alto;COMERCIAL;;bajo;79.74734225809996;71.13970362874394;71.85264523854467;84.15927400776395;51.65234752876141;44.538699449865604;50.33290716632312;53.714550440006306
Las Condes;bajo;COMERCIAL;;medio;87.32965946941614;75.68844568238679;85.05261988499613;88.51024307034308;45.561029850578855;61.484933236878646;61.494686723630636;54.9382417273573
Las Condes;bajo;COMERCIAL;;medio;70.7346743246318;68.73981401352376;72.17407151385068;69.84087250962946;42.150642163148966;54.6859166804515;41.68543702233777;59.243794773937644
Las Condes;alto;COMERCIAL;;alto;74.25708509278095;71.49883496629498;59.77032987266503;58.41831489991567;41.55213917702001;50.27774000185649;43.53135903907705;44.19775730150739
Las Condes;bajo;COMERCIAL;;alto;50.63125877439452;63.44016253110216;62.026992879065645;58.58242878738565;33.06564436148215;34.72454073776044;34.4059810511518;30.347817002470308
Las Condes;bajo;RESIDENCIAL;;alto;34.37157856387877;23.201596613398856;30.34234522269923;26.197437713388787;27.999606284382562;11.29962078869462;22.466109868864304;10.851302787689313
Las Condes;medio;INDUSTRIAL;;bajo;90.94636445473108;74.403725089172;75.38484622230433;89.55015295212856;63.85011752743855;57.53814610316296;46.26974751801491;55.789308098265735
Las Condes;medio;RESIDENCIAL;;medio;33.58971244651043;26.923514104076183;44.584406544237375;34.337196460018205;26.04791943814348;15.565384495073362;14.573571268143015;20.966990020757954
Las Condes;bajo;COMERCIAL;;bajo;88.6291766465504;75.64310597164415;82.21661248680633;74.22258807650924;55.523771813779405;59.03802677222365;64.13155737946038;59.319110903282606
Las Condes;medio;INDUSTRIAL;;alto;57.686171384724055;56.44642103007386;54.58844960759959;62.841018316735635;34.02563184522442;52.88743886240443;44.00935709540663;39.83179330067853
Las Condes;alto;RESIDENCIAL;;alto;32.37358282776914;15.646601892448587;27.536446205090662;23.88638130650768;16.23751128528449;8.714693479003028;14.999740199117305;22.056841965242683
Las Condes;alto;RESIDENCIAL;;medio;20.777849904020243;36.26010852057069;33.61300013271744;35.32510961402018;10.607758013454525;18.08798994651825;19.056327504279626;22.31708326020562
Las Condes;alto;COMERCIAL;;medio;63.727545054837705;68.20241855736631;67.02143470722105;76.06131658146728;43.59138924621061;50.59294795806047;44.88334301794329;49.69732537480074
